"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"P49757",0.0408826775864153,9.60958216235503,0.741926516102438,0.460222162454194,0.807151732094564,-6.57920007839759,"unchanged"
"Q53G44",-0.0408757382837273,5.33740677504178,-0.297240689188658,0.767023975058905,0.944430412004408,-6.80958293557219,"unchanged"
"P36543",0.0408361458096138,9.5652414277878,0.723048604719186,0.47167875689167,0.815570166209628,-6.59295168762603,"unchanged"
"P04040",-0.0408090545795741,12.4865304410094,-0.774331921410103,0.440930470334675,0.793966913980819,-6.55477934760073,"unchanged"
"Q9UKB3",0.0408056963393832,9.35665052706705,0.607548983046325,0.545142126005299,0.858203953670993,-6.66945366124554,"unchanged"
"Q6P1X6",-0.040773347147212,8.93354190126575,-0.54607004523351,0.586479779140805,0.87851961709257,-6.70480648988314,"unchanged"
"Q13085",0.0407612747406976,10.8526270498495,0.696533753985311,0.488036993850848,0.826317359825964,-6.61167533327779,"unchanged"
"O43164",0.0407429904827605,7.4944866314973,0.759423564270926,0.449746586349758,0.798021421941937,-6.5661421383562,"unchanged"
"Q99808",-0.0407393945313288,8.31564497814943,-0.555153657790244,0.580279827244807,0.87523820573963,-6.69981845213537,"unchanged"
"Q8IVB5",-0.0407047815940675,6.56348204628573,-0.616056567164784,0.539539800222536,0.855625468432585,-6.66426722226284,"unchanged"
"Q9Y3D3",0.0406922300595198,9.02093761476598,0.795509925070301,0.428581741153762,0.789337638932274,-6.53826380098693,"unchanged"
"P08574",0.0406865833743986,12.8728485406781,0.68835658535618,0.493144038064519,0.830724242277934,-6.61731024951751,"unchanged"
"Q9H967",-0.0406774358181261,6.80143942344427,-0.62783417190174,0.531832878040113,0.851539518879246,-6.65696937212737,"unchanged"
"Q16881",-0.0406721216753994,12.2208571769236,-0.651198861440201,0.516713568557799,0.842844802715975,-6.64208671390881,"unchanged"
"O43491",0.0406611121848677,10.6114568745632,0.653231881931763,0.515408802674131,0.842137711206285,-6.64076628188321,"unchanged"
"Q16658",-0.0406289065175276,13.4933996748561,-0.736701547674776,0.463377125516182,0.809909104855388,-6.58304121427424,"unchanged"
"Q9BSL1",0.0406241176382114,9.12613419709521,0.645502575767702,0.520378630125408,0.844461311220062,-6.64576471104055,"unchanged"
"P00338",0.040602767786373,14.9054483610999,0.652074051120931,0.516151669771879,0.842762428128697,-6.64151878393045,"unchanged"
"P62249",0.0405949061995496,12.2011031925393,0.601049058676734,0.549442113898167,0.861210459504233,-6.67336801233895,"unchanged"
"Q86UP2",0.0405705709002273,12.0176017931598,0.791159974151124,0.431101319583628,0.790939248881818,-6.54169190457542,"unchanged"
"Q5T0N5",0.0405644424674687,7.89199057067834,0.718356897154545,0.474550694446308,0.817820229181209,-6.59631507370928,"unchanged"
"Q15911",0.0405628362942565,7.72953065782252,0.756359944824766,0.451570792797484,0.799392414844385,-6.56845017767332,"unchanged"
"Q8IUF8",0.0405368832997866,7.88930472515269,0.635052454325389,0.527137668397145,0.849357140726107,-6.65242899923247,"unchanged"
"Q9H840",0.040456746965809,4.40125334056389,0.351920051992708,0.725788423667265,0.934799155682786,-6.79184066161022,"unchanged"
"Q6NYC8",0.0404506503707438,9.99148216781314,0.643289373082935,0.521806303565878,0.845147674246929,-6.64718511059856,"unchanged"
"Q8WUH2",-0.0404052098079415,5.85351213867756,-0.664099047196164,0.508464040355178,0.837238063041775,-6.63363906676313,"unchanged"
"Q9Y6Q3",-0.0403891524007935,6.59015983196688,-0.56316674320012,0.574836648008477,0.872536032285071,-6.6953504669838,"unchanged"
"P29350",0.040381490698306,6.62799134757495,0.581830544631008,0.562254780063954,0.867865447550442,-6.6846975018363,"unchanged"
"Q13233",-0.0403511462487973,5.34367867572989,-0.651772130756395,0.516345475507245,0.842762428128697,-6.64171479204062,"unchanged"
"Q9H4Z3",-0.0403460148663397,7.8245918849949,-0.736280299134408,0.463632019079996,0.810191830851123,-6.58334972818291,"unchanged"
"Q2PPJ7",0.0403411775086555,6.34071336209192,0.623676945316629,0.534546748832367,0.853058552209275,-6.65956098014696,"unchanged"
"O14715",-0.0403382441161684,4.50191873530263,-0.510055899745992,0.611363397655495,0.888034453551251,-6.72377838787227,"unchanged"
"Q8IXQ5",0.0403318213860571,6.94892190197079,0.582874145019892,0.561555272080416,0.867865447550442,-6.68409166369115,"unchanged"
"P60059",0.0403245983262046,10.1133440544024,0.229056473915185,0.819387403476246,0.959264608166143,-6.82752765569799,"unchanged"
"Q96DV4",0.040304765060732,9.17222783349119,0.633474803520351,0.528162026539733,0.850183527140554,-6.65342574702699,"unchanged"
"P41134",0.0402816415824088,11.610974164259,0.587497662494908,0.558461369388133,0.866826323264883,-6.68139463546725,"unchanged"
"O95402",0.0402622453344881,6.86280053877995,0.642362945658932,0.522404523666362,0.845247656849215,-6.64777824359748,"unchanged"
"Q99685",0.040225693844171,8.3108079367681,0.685975155247025,0.494636820598002,0.831434242406455,-6.61893893361941,"unchanged"
"Q9NWV8",-0.0402091789170171,9.30780370518319,-0.525384141600414,0.600714228102767,0.88519627933452,-6.71586071482725,"unchanged"
"O00584",-0.0402061241682539,9.15155290769728,-0.721532177699278,0.472605939794459,0.816507271423566,-6.59404114681266,"unchanged"
"Q13444",0.0402048831755906,6.80575119556733,0.542730389881042,0.58876707133913,0.879108265289923,-6.70661983885354,"unchanged"
"Q15773",0.0401798530785999,9.28266122103978,0.56939880743418,0.570620360754479,0.870943468473922,-6.69183163247291,"unchanged"
"O75554",0.0401747549963982,8.21723212456261,0.589287583569666,0.5572658830202,0.86642643724624,-6.68034485021047,"unchanged"
"Q6UXV4",-0.040135295179196,9.15769238511932,-0.745938929850996,0.457807698027059,0.806056655948231,-6.57623216991321,"unchanged"
"Q9H469",-0.0401213876784787,6.01794258710214,-0.510909943418805,0.610767822386099,0.887560830263502,-6.7233433660683,"unchanged"
"Q7Z7H5",-0.0401187100385716,9.88060990036865,-0.641982842089054,0.522650070941376,0.845394750301047,-6.64802135508012,"unchanged"
"P18887",0.0401185177886525,10.3297151731514,0.705026157942565,0.482763964431678,0.822476248842767,-6.60575357771974,"unchanged"
"Q12981",-0.040113953133595,7.44425463263599,-0.544041901056788,0.587868332173274,0.87851961709257,-6.70590903819452,"unchanged"
"P48960",0.0401131539055228,10.6802043744894,0.665751077129,0.50741268628996,0.836732048256553,-6.6325453976326,"unchanged"
"Q9H2J7",-0.0401047338576852,7.20152123384216,-0.600506158269664,0.549802035638775,0.861210459504233,-6.67369306658956,"unchanged"
"Q9UNY5",-0.040081692315713,5.98495991027758,-0.608051854609308,0.544810164350282,0.858103135919446,-6.66914908544001,"unchanged"
"Q9UNY4",0.0400651870094002,8.070710044835,0.617290958410812,0.538729386730536,0.855183747293601,-6.66350876952152,"unchanged"
"Q0VG06",0.0400628300700774,6.40534407467135,0.593484063413668,0.55446804274007,0.864433206663697,-6.67787120827643,"unchanged"
"P23284",0.0400600287627242,13.5894988074569,0.667987162700906,0.505991491757558,0.836732048256553,-6.63106079315384,"unchanged"
"Q5BJH2",0.0400513555134214,8.41514081215675,0.679821608325662,0.498505489611802,0.833942164256358,-6.62312156594442,"unchanged"
"O94985",0.0400184737442526,6.46828584430372,0.632339025508346,0.528900118375059,0.850183527140554,-6.65414180292078,"unchanged"
"Q9H4H8",-0.0400074117290661,8.96541238784906,-0.6367220523217,0.526054734760548,0.848535163671799,-6.65137148604826,"unchanged"
"O14745",0.0399956820474436,13.2476305905666,0.728119181366553,0.468585900995904,0.813943441046998,-6.58929239155228,"unchanged"
"Q9BWD1",-0.0399911640950332,11.5469842840834,-0.585937910424909,0.559504159846728,0.867284765754561,-6.6823068448654,"unchanged"
"Q9BTK6",-0.0399883766211602,8.4941716874425,-0.465710097232106,0.642640435247176,0.900911658613658,-6.74537243871829,"unchanged"
"Q9P0M9",0.0399788884624197,8.44342868015827,0.459743046726915,0.646900345228508,0.901836756755524,-6.74812906894021,"unchanged"
"P60953",-0.0399656075011023,13.4687829275356,-0.57612706479983,0.566085280096485,0.869877380596948,-6.68798950079061,"unchanged"
"O00623",0.0399463216689782,6.88573219096524,0.565977357997481,0.572933276830718,0.871757014610688,-6.69376825566238,"unchanged"
"P46821",0.0399400205785216,11.1653683273811,0.668705574283343,0.505535342126682,0.836732048256553,-6.63058277289217,"unchanged"
"Q8WUB8",0.0399396134006604,8.43284418470784,0.640911462094976,0.523342508163072,0.846200088942484,-6.6487058352332,"unchanged"
"O95989",-0.0399245435321616,7.73011336925419,-0.592521723755198,0.555109026804288,0.864646068325591,-6.67844000348891,"unchanged"
"Q13554",-0.0399192580093271,8.13023174831603,-0.585525353365335,0.559780140456795,0.867284765754561,-6.6825477236222,"unchanged"
