"PG.ProteinGroups","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"Q9BYW2",-0.959281975533385,9.05886229894277,-4.79588081990689,1.96078359079582e-05,0.000113485405564423,2.6245333237802,"unchanged"
"Q13232",0.959120584714141,8.8739577675845,5.66497831137932,1.11271991521789e-06,9.81839487654423e-06,5.38065165731981,"unchanged"
"Q9H4L5",-0.958910553822067,9.19316038905343,-6.21051361621109,1.78984790773729e-07,2.79097665781093e-06,7.14236346480167,"unchanged"
"Q9UGY1",-0.958639439146042,9.05161226128185,-6.11048395259527,2.50357857287215e-07,3.44054186499444e-06,6.81860744405161,"unchanged"
"Q01082",-0.958444162167611,13.424069996219,-5.35695652826791,3.10247537029639e-06,2.22676841965415e-05,4.39375989524294,"unchanged"
"Q8IY17",-0.95841887574721,9.96285830899629,-5.96135368158324,4.12782282752499e-07,4.85245434174325e-06,6.33635533263335,"unchanged"
"O00479",0.958137681063301,7.98795140402477,5.3072332331287,3.65839956598461e-06,2.54391829132695e-05,4.23528574170914,"unchanged"
"O15360",-0.958001082943925,5.83056502123328,-5.16098381770619,5.93234520272361e-06,3.8482826933999e-05,3.77082772313085,"unchanged"
"Q15286",0.957567938256908,8.95809583655036,5.9678422583849,4.03902994888136e-07,4.78760690035401e-06,6.35732369643579,"unchanged"
"Q9Y619",-0.957503350563284,7.78001222661804,-5.76598101428034,7.9396232703475e-07,7.75160301108338e-06,5.70582607032059,"unchanged"
"Q8N1Q1",0.957460217766944,7.66275929038417,4.82937620245881,1.75847585372819e-05,0.000102458013741336,2.72878418599758,"unchanged"
"Q8N183",-0.957408421993636,11.6762182036702,-6.05203378984018,3.0457765110945e-07,4.00229756344578e-06,6.62951963164033,"unchanged"
"O43572",0.957210428372062,7.86323602444847,6.32548445654007,1.21694708289467e-07,2.19176452879932e-06,7.51461950607281,"unchanged"
"Q9H6F2",0.957188326089791,6.49996428297799,5.52277125261767,1.7879091565852e-06,1.41648649846399e-05,4.92401885065767,"unchanged"
